location,total_sqft,bath,balcony,price,bhk
Dinnur,1700.0,3.0,1.0,97.0,3.0
Raja Rajeshwari Nagar,1575.0,2.0,2.0,78.0,3.0
Frazer Town,3500.0,4.0,2.0,330.0,3.0
Rajiv Nagar,1263.0,2.0,1.0,93.32,2.0
KR Puram,1559.0,3.0,0.0,69.315,3.0
Kengeri Satellite Town,1043.0,2.0,2.0,65.0,2.0
Hennur,1255.0,2.0,2.0,53.5,2.0
JP Nagar,1352.5,2.0,0.0,93.865,2.0
Yelahanka,1550.0,3.0,1.0,120.0,3.0
Sarjapur  Road,1220.0,3.0,3.0,56.0,3.0
Rustam Bagh Layout,1900.0,3.0,3.0,160.0,3.0
Vasantha Vallabha Nagar,1360.0,3.0,3.0,55.0,3.0
Vyalikaval,1100.0,2.0,1.0,75.0,2.0
8th Phase JP Nagar,1455.0,3.0,2.0,73.31,3.0
KR Puram,1035.0,2.0,1.0,40.5,2.0
Harlur,1152.0,2.0,2.0,69.0,2.0
Bellandur,1299.0,2.0,2.0,82.0,2.0
Sarjapur  Road,1157.0,2.0,1.0,75.0,3.0
Rachenahalli,1050.0,2.0,2.0,52.5,2.0
Pai Layout,1050.0,2.0,2.0,40.0,2.0
Vittasandra,1246.0,2.0,1.0,67.4,2.0
"Sarjapur Road, ",1929.0,3.0,2.0,115.0,3.0
Hennur,1285.0,2.0,1.0,60.0,2.0
Margondanahalli,1200.0,2.0,0.0,65.0,3.0
"Banaswadi, ",3161.0,4.0,3.0,214.0,4.0
BTM 2nd Stage,1850.0,3.0,0.0,170.0,3.0
Sompura,1025.0,2.0,0.0,37.0,3.0
Malleshwaram,1124.0,3.0,2.0,80.0,2.0
Balagere,1012.0,2.0,1.0,54.59,2.0
8th Phase JP Nagar,871.0,2.0,2.0,55.0,2.0
Chinnapanahalli,1020.0,2.0,2.0,40.0,2.0
Rachenahalli,1550.0,3.0,3.0,73.5,3.0
Anand Nagar,3515.0,3.0,1.0,420.0,3.0
Akshaya Nagar,1410.0,2.0,2.0,80.0,3.0
Chikka Tirupathi,3500.0,5.0,3.0,150.0,4.0
Whitefield,1118.0,2.0,1.0,75.0,2.0
Thanisandra,1098.0,2.0,1.0,68.0,2.0
Kanakapura,1130.0,2.0,1.0,45.2,2.0
Sarjapur  Road,1145.0,2.0,2.0,75.0,2.0
Kadugodi,950.0,3.0,1.0,80.0,3.0
Balaji Gardens Layout,1051.0,2.0,1.0,33.0,2.0
Marathahalli,1102.0,2.0,2.0,53.67,2.0
Jalahalli,1478.0,2.0,2.0,125.0,2.0
Chandapura,645.0,1.0,1.0,16.45,1.0
Hebbal,823.0,2.0,1.0,50.63,2.0
Abbigere,880.0,2.0,1.0,35.0,2.0
TC Palaya,1100.0,3.0,1.0,50.0,3.0
Gubbalala,1745.0,3.0,2.0,115.0,3.0
HAL 2nd Stage,1226.0,3.0,1.0,135.0,2.0
 Devarabeesana Halli,1100.0,2.0,1.0,70.0,2.0
5th Phase JP Nagar,1450.0,2.0,1.0,58.0,2.0
Singasandra,3366.0,4.0,0.0,120.0,4.0
Sahakara Nagar,1150.0,2.0,1.0,54.0,2.0
Kanakpura Road,1843.0,3.0,2.0,95.84,3.0
Banashankari Stage VI,2200.0,4.0,2.0,195.0,4.0
Bommanahalli,1090.0,3.0,2.0,44.0,2.0
Kaggadasapura,1132.0,2.0,2.0,42.0,2.0
Hulimavu,1375.0,2.0,2.0,80.0,2.0
Thanisandra,760.0,1.0,2.0,50.3,1.0
Kaggadasapura,1180.0,2.0,2.0,65.0,2.0
Jigani,918.0,2.0,2.0,45.0,2.0
Margondanahalli,1200.0,1.0,0.0,53.0,2.0
HSR Layout,1372.0,2.0,1.0,61.0,2.0
1st Block HRBR Layout,2400.0,7.0,3.0,355.0,7.0
Ardendale,1728.0,3.0,2.0,95.0,3.0
Malleshwaram,2215.0,3.0,1.0,275.0,3.0
BTM 2nd Stage,1200.0,2.0,2.0,80.0,2.0
6th Phase JP Nagar,1280.0,2.0,0.0,56.0,2.0
Byrasandra,1455.0,2.0,2.0,56.0,3.0
 Rachenahalli,440.0,1.0,0.0,28.0,1.0
Kanakpura Road,1500.0,3.0,2.0,97.0,3.0
Whitefield,1800.0,3.0,0.0,110.0,3.0
Mysore Road,1525.0,3.0,2.0,96.0,3.0
Rachenahalli,1204.0,2.0,3.0,38.5,2.0
Old Madras Road,1225.0,2.0,1.0,53.55,2.0
Bannerghatta Road,1650.0,3.0,0.0,122.0,3.0
Tippenahalli,1200.0,2.0,0.0,55.0,2.0
9th Phase JP Nagar,1005.0,2.0,1.0,42.0,2.0
Whitefield,1562.0,3.0,2.0,103.0,3.0
Ramamurthy Nagar,1200.0,2.0,3.0,42.0,2.0
Kasavanhalli,1555.0,3.0,2.0,82.5,3.0
KR Puram,1550.0,2.0,1.0,71.0,2.0
Whitefield,1190.0,2.0,2.0,67.0,2.0
Chikkalasandra,1070.0,2.0,2.0,50.0,2.0
Jalahalli East,1020.0,2.0,1.0,42.48,2.0
Yelahanka,1610.0,3.0,1.0,115.0,3.0
Prestige Sunrise,700.0,1.0,1.0,41.0,1.0
Akshaya Vana,1300.0,2.0,1.0,49.0,3.0
Hebbal,1420.0,2.0,1.0,123.0,2.0
Hebbal,1069.0,3.0,2.0,65.4,3.0
Marathahalli,1900.0,3.0,3.0,123.0,3.0
Old Airport Road,1655.0,2.0,1.0,97.65,2.0
Uttarahalli,1155.0,2.0,2.0,40.42,2.0
Sarjapur  Road,1300.0,2.0,2.0,70.0,3.0
Electronic City,1100.0,2.0,2.0,45.0,2.0
Doddathoguru,1030.0,2.0,2.0,42.0,2.0
Vittasandra,2105.0,2.0,1.0,70.2,2.0
Bhoganhalli,1700.0,3.0,2.0,126.0,3.0
Jakkur,1760.0,3.0,2.0,139.0,3.0
1st Stage Indira Nagar,1400.0,2.0,1.0,67.0,2.0
Srigandada Kaval,1200.0,2.0,0.0,53.0,2.0
Bannerghatta Road,912.0,2.0,1.0,55.0,2.0
Whitefield,1102.0,2.0,1.0,48.0,2.0
Channasandra Layout,1535.0,3.0,1.0,55.0,3.0
Haralur Road,1243.0,2.0,2.0,46.0,2.0
Jigani,918.0,2.0,2.0,63.2,2.0
Begur Road,1500.0,2.0,3.0,70.0,3.0
Mathikere Extension,3000.0,3.0,0.0,250.0,3.0
Kasavanhalli,1476.0,3.0,0.0,89.0,3.0
Mysore Road,1200.0,2.0,3.0,65.0,2.0
Vijayanagar,606.0,1.0,0.0,34.78,1.0
Viswajit Layout,1100.0,2.0,3.0,61.0,2.0
Garudachar Palya,1295.0,2.0,1.0,59.5,3.0
Neeladri Nagar,527.0,1.0,0.0,26.0,1.0
OMBR Layout,1300.0,2.0,2.0,80.0,2.0
Adityanagar,1260.0,1.0,0.0,41.0,1.0
Koramangala,1140.0,2.0,1.0,75.2,2.0
Whitefield,2321.0,4.0,1.0,128.0,3.0
Sarjapur  Road,1390.0,2.0,2.0,62.0,2.0
Sarjapur  Road,1725.0,3.0,3.0,90.0,3.0
Hebbal,3067.0,4.0,1.0,310.0,4.0
Hennur Road,1186.0,2.0,1.0,63.0,3.0
Kanakpura Road,1230.0,2.0,1.0,85.0,2.0
 Mysore Highway,600.0,1.0,1.0,17.0,1.0
Yeshwanthpur,1313.0,3.0,1.0,96.0,3.0
TC Palaya,900.0,2.0,0.0,55.0,2.0
Ambalipura,1250.0,2.0,2.0,66.25,2.0
Binny Pete,660.0,1.0,1.0,54.0,1.0
Basavangudi,1036.0,2.0,2.0,105.0,2.0
Koramangala,2700.0,4.0,3.0,450.0,4.0
Old Madras Road,1100.0,2.0,1.0,70.0,2.0
Electronics City Phase 1,1015.0,2.0,1.0,56.0,2.0
Gottigere,812.0,1.0,0.0,26.0,1.0
Narayana Nagar 1st Block,1360.0,2.0,2.0,65.0,3.0
Nehru Nagar,2167.0,3.0,3.0,170.0,3.0
Raja Rajeshwari Nagar,1200.0,2.0,1.0,35.0,2.0
Gopalkrishna Nagar,1165.0,2.0,2.0,75.0,2.0
BTM 2nd Stage,1274.0,2.0,2.0,70.0,2.0
Raja Rajeshwari Nagar,1151.0,2.0,2.0,39.02,2.0
Thubarahalli,1626.0,2.0,2.0,120.0,3.0
Banashankari Stage V,1035.0,2.0,2.0,35.77,2.0
Jeevan bima nagar,965.0,2.0,1.0,45.0,2.0
Kothannur,1070.0,2.0,1.0,42.79,2.0
Raja Rajeshwari Nagar,1570.0,2.0,2.0,65.0,3.0
Volagerekallahalli,1053.0,2.0,2.0,38.0,2.0
Keerthi Layout,780.0,2.0,2.0,25.0,2.0
Ganga Nagar Extension,1000.0,2.0,1.0,65.0,3.0
9th Phase JP Nagar,1200.0,3.0,2.0,188.0,4.0
5th Phase JP Nagar,1700.0,2.0,3.0,100.0,3.0
Haralur Road,1850.0,3.0,0.0,110.0,3.0
Kereguddadahalli,904.0,2.0,1.0,30.0,2.0
Shikaripalya,1121.0,2.0,1.0,43.72,2.0
7th Phase JP Nagar,1385.0,2.0,2.0,58.17,3.0
Sahakara Nagar,1270.0,2.0,1.0,69.85,2.0
Kanakpura Road,1450.0,3.0,3.0,56.0,3.0
Huttanahalli,2400.0,4.0,2.0,325.0,3.0
Mahadevpura,730.0,1.0,1.0,35.0,1.0
Raja Rajeshwari Nagar,1580.0,3.0,3.0,53.56,3.0
Thanisandra,1111.0,2.0,1.0,50.0,2.0
Kengeri,1125.0,2.0,1.0,88.0,4.0
Varthur,977.0,2.0,2.0,36.0,2.0
Gunjur Palya,674.0,1.0,1.0,19.9,2.0
Nagarbhavi,600.0,3.0,1.0,83.0,3.0
Sarjapur,2540.0,4.0,1.0,115.0,4.0
Jakkur,1290.0,2.0,1.0,100.0,2.0
Kumaraswami Layout,600.0,3.0,1.0,98.0,3.0
Abbigere,795.0,2.0,1.0,32.54,2.0
Kanakpura Road,700.0,1.0,1.0,35.0,2.0
Ambedkar Colony,1463.0,1.0,1.0,142.0,2.0
Vijayanagar,1000.0,3.0,0.0,140.0,3.0
Reliable Woods Layout,1306.0,2.0,2.0,58.0,3.0
4th T block Jayanagar,2401.0,3.0,2.0,185.0,3.0
Bommenahalli,1670.0,3.0,0.0,135.0,4.0
Jayanagar,1875.0,2.0,3.0,235.0,3.0
Marsur,1200.0,3.0,1.0,90.0,3.0
Dodda Nekkundi,1804.0,3.0,2.0,121.0,3.0
1st Phase JP Nagar,2065.0,4.0,1.0,210.0,3.0
Hoskote,1225.0,3.0,1.0,40.0,3.0
Thanisandra,1185.5,2.0,0.0,58.68,2.0
Bellandur,900.0,2.0,2.0,56.0,2.0
Binny Pete,1350.0,2.0,1.0,91.0,2.0
Kaggalipura,700.0,1.0,0.0,36.0,1.0
Mysore Road,1005.0,2.0,0.0,35.175,2.0
Poorna Pragna Layout,1160.0,2.0,1.0,46.39,2.0
Hennur Road,1680.0,3.0,0.0,99.27,3.0
LB Shastri Nagar,1043.0,2.0,2.0,55.0,2.0
Hebbal,1040.0,2.0,2.0,46.0,2.0
Tindlu,1357.0,2.0,2.0,65.0,3.0
Vibhutipura Extension,1225.0,2.0,2.0,47.0,2.0
Yelachenahalli,1130.0,2.0,2.0,40.0,2.0
Basavangudi,2500.0,4.0,1.0,150.0,4.0
Sultan Palaya,1700.0,3.0,3.0,120.0,3.0
Doddathoguru,1549.0,3.0,2.0,65.0,3.0
Yeshwanthpur,1400.0,2.0,2.0,100.0,2.0
Dodda Nekkundi,1080.0,2.0,2.0,50.0,2.0
Ulsoor,1180.0,2.0,2.0,100.0,2.0
Domlur,1800.0,3.0,2.0,150.0,3.0
Haralur Road,1225.0,2.0,1.0,67.38,2.0
Chandra Layout,890.0,1.0,1.0,75.0,1.0
Abbigere,1005.0,2.0,1.0,39.59,2.0
Whitefield,1320.0,2.0,1.0,95.0,2.0
Anandapura,1475.0,2.0,1.0,50.0,4.0
Kudlu Gate,1707.0,3.0,0.0,99.745,3.0
Hagadur,1110.0,2.0,2.0,51.0,2.0
Popular Colony,1300.0,2.0,0.0,54.0,2.0
Vajarahalli,600.0,3.0,1.0,86.0,5.0
Electronic City,1128.0,2.0,1.0,65.35,2.0
Jakkur,1452.19,2.0,1.0,100.0,2.0
8th block Koramangala,2400.0,3.0,2.0,290.0,3.0
Banashankari,2600.0,4.0,1.0,135.0,3.0
Sarakki Nagar,2500.0,4.0,2.0,325.0,3.0
Sanjay nagar,630.0,1.0,1.0,35.0,2.0
Hosa Road,1243.0,2.0,2.0,48.5,2.0
Soundarya Layout,960.0,2.0,2.0,32.0,2.0
"Banashankari 6th Stage ,Subramanyapura",1690.0,3.0,2.0,100.0,3.0
Whitefield,735.0,2.0,1.0,35.0,2.0
Banaswadi,1365.0,2.0,2.0,73.0,2.0
Rajaji Nagar,2849.0,5.0,0.0,300.0,5.0
Hebbal,1420.0,2.0,1.0,99.39,2.0
Somasundara Palya,1570.0,3.0,3.0,68.0,3.0
Bisuvanahalli,850.0,1.0,1.0,32.0,2.0
7th Phase JP Nagar,1575.0,2.0,2.0,110.0,3.0
Thigalarapalya,1418.0,2.0,2.0,104.0,2.0
Uttarahalli,1050.0,2.0,1.0,42.0,2.0
Hennur Road,1065.0,2.0,1.0,42.6,2.0
Ulsoor,1340.0,3.0,0.0,90.0,3.0
Yelahanka New Town,1610.0,3.0,2.0,92.0,3.0
Electronic City Phase II,1160.0,2.0,1.0,33.5,2.0
Kudlu,1092.0,2.0,2.0,44.0,2.0
Parappana Agrahara,1194.0,2.0,2.0,47.0,2.0
Yelahanka,1455.0,3.0,1.0,61.5,3.0
Abbigere,734.0,1.0,0.0,19.82,1.0
Samethanahalli,799.0,2.0,1.0,38.0,2.0
Whitefield,1896.0,3.0,1.0,75.0,3.0
Ardendale,1100.0,2.0,1.0,48.0,2.0
Bellandur,1350.0,2.0,1.0,79.0,2.0
Amarjyothi Colony,1355.0,3.0,1.0,61.0,3.0
Electronic City,1128.0,2.0,1.0,65.0,2.0
Pattanagere,1350.0,2.0,0.0,90.0,2.0
Cunningham Road,3875.0,3.0,2.0,864.0,3.0
Kasavanhalli,1493.0,3.0,2.0,82.0,3.0
8th Phase JP Nagar,1098.0,2.0,1.0,43.91,2.0
Banashankari,1900.0,2.0,1.0,170.0,3.0
Dollars Layout,1460.0,3.0,2.0,88.0,3.0
Frazer Town,2350.0,4.0,3.0,285.0,3.0
Varthur,1091.0,2.0,1.0,32.0,2.0
Yelahanka,1180.0,2.0,3.0,42.0,2.0
Kanakpura Road,1366.0,3.0,1.0,76.85,2.0
RMV Extension,1685.0,3.0,2.0,95.0,3.0
Koramangala,1260.0,2.0,3.0,100.0,2.0
Whitefield,3010.0,3.0,2.0,200.0,3.0
Mallasandra,1200.0,2.0,0.0,130.0,2.0
Whitefield,1346.0,2.0,1.0,96.17,2.0
Sarjapur  Road,1476.0,3.0,0.0,98.94,3.0
7th Phase JP Nagar,1850.0,3.0,2.0,140.0,3.0
Frazer Town,2350.0,2.0,0.0,423.0,5.0
Electronic City,755.0,1.0,1.0,34.0,2.0
Parappana Agrahara,1194.0,2.0,2.0,46.0,2.0
Whitefield,3850.0,5.0,0.0,316.0,3.0
Kurubarahalli,800.0,1.0,0.0,52.0,1.0
Rachenahalli,2250.0,3.0,1.0,195.0,3.0
Vijayanagar,1352.0,2.0,2.0,68.0,2.0
Thanisandra,2002.0,3.0,2.0,112.0,3.0
Kaval Byrasandra,1060.0,2.0,2.0,45.0,2.0
Kanakpura Road,1419.59,2.0,1.0,59.0,3.0
Raja Rajeshwari Nagar,1196.0,2.0,2.0,51.15,2.0
Electronic City,1220.0,2.0,2.0,35.24,3.0
Electronics City Phase 1,1595.0,3.0,2.0,75.0,3.0
Banashankari,1260.0,2.0,3.0,75.0,2.0
Hebbal,1100.0,2.0,2.0,47.0,2.0
Frazer Town,1550.0,2.0,2.0,140.0,2.0
ISRO Layout,1180.0,2.0,3.0,52.0,2.0
Akshaya Nagar,1662.0,3.0,2.0,85.0,3.0
Hennur,1285.0,2.0,1.0,60.0,2.0
Ambedkar Nagar,1862.0,3.0,2.0,119.0,3.0
Raja Rajeshwari Nagar,1419.0,2.0,2.0,48.0,2.0
Whitefield,1410.0,3.0,2.0,43.71,3.0
Raja Rajeshwari Nagar,1560.0,2.0,2.0,62.4,3.0
Thanisandra,1634.0,3.0,3.0,78.0,3.0
Whitefield,1150.0,2.0,3.0,44.0,3.0
Ashirvad Colony,1100.0,2.0,0.0,53.0,2.0
Yelahanka,1616.0,3.0,1.0,65.0,3.0
Nagavarapalya,1392.0,2.0,1.0,99.0,2.0
Jakkur,1798.0,3.0,1.0,120.0,3.0
Babusapalaya,1675.0,3.0,3.0,75.0,3.0
Bhuvaneswari Nagar,792.0,2.0,1.0,70.0,2.0
Varanasi,2000.0,4.0,1.0,103.0,5.0
Hebbal,1700.0,3.0,2.0,124.0,3.0
Hulimavu,1248.0,2.0,1.0,69.0,2.0
Kalkere,1147.0,2.0,1.0,54.0,2.0
Sultan Palaya,1100.0,2.0,2.0,40.0,2.0
Vijayanagar,1527.0,3.0,2.0,115.0,3.0
Shantiniketan Layout,2400.0,5.0,2.0,235.0,5.0
Kanakpura Road,525.0,1.0,1.0,25.0,1.0
Kaggadasapura,1100.0,2.0,3.0,58.0,2.0
Seegehalli,1118.0,2.0,2.0,37.5,2.0
Kanakapura,1476.0,3.0,1.0,75.0,3.0
Gopal Reddy Layout,2100.0,3.0,1.0,75.0,3.0
Roopena Agrahara,1215.0,2.0,2.0,46.5,3.0
Ambalipura,1332.0,2.0,1.0,79.0,2.0
Hennur Road,1350.0,2.0,3.0,49.0,2.0
Haralur Road,1243.0,2.0,2.0,46.0,2.0
NGR Layout,1105.0,2.0,2.0,49.73,2.0
Padmanabhanagar,1500.0,2.0,1.0,200.0,3.0
Kasavanhalli,1200.0,2.0,2.0,50.0,2.0
Ramagondanahalli,1251.0,2.0,1.0,47.4,2.0
Kambipura,883.0,2.0,1.0,45.0,2.0
Pai Layout,1400.0,2.0,3.0,67.0,3.0
Rajaji Nagar,1800.0,3.0,3.0,260.0,3.0
Hegde Nagar,1703.0,3.0,2.0,113.0,3.0
NRI Layout,2500.0,5.0,3.0,130.0,5.0
Varthur,1250.0,3.0,0.0,71.0,3.0
Jigani,933.0,2.0,2.0,43.0,2.0
sankeswari,461.82,1.0,1.0,31.7,1.0
Brookefield,1262.0,2.0,1.0,75.0,2.0
Yelahanka,915.0,2.0,2.0,48.0,2.0
Panathur,1370.0,2.0,2.0,61.5,3.0
Malleshpalya,1210.0,2.0,3.0,55.0,2.0
Kodihalli,2392.0,4.0,2.0,260.0,3.0
T c palya,1500.0,2.0,0.0,85.0,3.0
Govindraja Nagar,1065.0,2.0,3.0,50.0,2.0
Rajaji Nagar,3100.0,4.0,2.0,570.0,4.0
Ramamurthy Nagar,1515.0,3.0,3.0,65.0,3.0
Thanisandra,1445.0,2.0,3.0,40.31,3.0
Uttarahalli,1300.0,2.0,1.0,55.0,3.0
Vijayanagar,989.0,2.0,0.0,60.0,2.0
Jakkur,1300.0,2.0,1.0,85.0,2.0
Chandapura,1185.0,2.0,2.0,30.22,3.0
Battarahalli,1350.0,3.0,1.0,110.0,5.0
Marathahalli,1045.0,2.0,3.0,60.0,2.0
Virat Nagar,1205.0,2.0,2.0,42.18,2.0
Chennammanakere Achukattu,1260.0,2.0,1.0,75.0,2.0
Ulsoor,1500.0,2.0,2.0,125.0,3.0
Bommanahalli,1250.0,2.0,2.0,42.5,3.0
"Maragondana Halli, kr puram, old madras road",1199.0,2.0,2.0,50.0,2.0
Hennur Road,1385.0,2.0,1.0,83.09,2.0
Lakshminarayana Pura,1149.0,2.0,1.0,75.0,2.0
Sarjapur  Road,2180.0,3.0,2.0,170.0,3.0
Hulimavu,1818.0,3.0,1.0,135.0,3.0
Volagerekallahalli,1070.0,2.0,2.0,33.0,2.0
Rajaji Nagar,1640.0,3.0,2.0,241.0,3.0
Nagarbhavi,1350.0,2.0,2.0,54.6,3.0
Chandapura,630.0,1.0,1.0,27.0,2.0
Hoodi,1430.0,2.0,2.0,113.0,2.0
Nagavara,2430.0,4.0,3.0,180.0,3.0
Sarjapur  Road,1084.0,2.0,3.0,55.0,2.0
Hennur Road,1186.0,2.0,1.0,56.0,3.0
Kengeri,1255.0,2.0,2.0,50.0,2.0
Haralur Road,3400.0,5.0,3.0,240.0,4.0
Hosa Road,1541.0,3.0,1.0,69.84,3.0
Iblur Village,3596.0,5.0,1.0,282.0,4.0
Raja Rajeshwari Nagar,1295.0,2.0,2.0,70.0,2.0
Sanjeevini Nagar,2820.0,3.0,0.0,285.0,3.0
7th Phase JP Nagar,1370.0,2.0,2.0,54.79,3.0
Electronic City,1100.0,2.0,1.0,40.0,2.0
Rajaji Nagar,1370.0,2.0,1.0,170.0,2.0
7th Phase JP Nagar,1370.0,2.0,1.0,54.79,3.0
JP Nagar,1200.0,2.0,2.0,62.0,2.0
Gunjur,2000.0,3.0,0.0,95.0,4.0
9th Phase JP Nagar,3500.0,4.0,0.0,300.0,4.0
Kengeri,2400.0,5.0,2.0,253.0,4.0
Sarjapur  Road,1220.0,3.0,2.0,62.0,3.0
Kanakapura Road,1950.0,3.0,2.0,130.0,3.0
Somasundara Palya,1178.0,2.0,3.0,73.0,2.0
Dasanapura,1286.0,3.0,2.0,61.44,3.0
Begur Road,1160.0,2.0,2.0,42.0,2.0
Jigani,918.0,2.0,2.0,55.0,2.0
Electronic City,1563.0,3.0,2.0,91.84,3.0
Govindpura,1326.0,2.0,1.0,62.17,2.0
3rd Block Jayanagar,1350.0,2.0,2.0,140.0,3.0
Begur Road,1240.0,2.0,2.0,39.06,2.0
Kaggadasapura,1325.0,2.0,2.0,50.0,2.0
Sonnenahalli,1100.0,2.0,1.0,44.0,2.0
Cunningham Road,3875.0,3.0,2.0,800.0,3.0
Gollarapalya Hosahalli,1605.0,3.0,2.0,50.0,3.0
Somasundara Palya,1260.0,2.0,1.0,60.0,2.0
Hoodi,1553.0,3.0,2.0,83.09,3.0
Whitefield,1280.0,2.0,2.0,52.0,2.0
Hebbal,1550.0,2.0,2.0,75.0,3.0
Arekere,1445.0,2.0,2.0,125.0,3.0
Murugeshpalya,1550.0,3.0,2.0,74.0,3.0
Electronics City Phase 1,1515.0,2.0,1.0,80.91,3.0
Hosa Road,1332.0,2.0,1.0,86.12,3.0
Electronic City,1652.0,3.0,2.0,70.0,3.0
Hegde Nagar,1570.0,3.0,1.0,105.0,3.0
Sector 2 HSR Layout,794.0,1.0,1.0,60.0,1.0
Seegehalli,1200.0,2.0,0.0,62.0,3.0
7th Phase JP Nagar,3600.0,3.0,2.0,410.0,4.0
Hosakerehalli,1200.0,3.0,2.0,175.0,3.0
JP Nagar,1650.0,3.0,1.0,220.0,4.0
Chandra Layout,600.0,2.0,1.0,85.0,4.0
HRBR Layout,2800.0,3.0,2.0,250.0,3.0
Sarjapur  Road,1750.0,3.0,2.0,110.0,3.0
Hebbal,1053.0,2.0,1.0,48.0,2.0
Kanakpura Road,1100.0,3.0,2.0,53.0,3.0
Kadubeesanahalli,1665.0,3.0,3.0,70.0,3.0
Bommasandra,1447.0,3.0,2.0,80.0,3.0
Balagere,1012.0,2.0,1.0,75.0,2.0
Malleshpalya,1900.0,3.0,2.0,60.0,3.0
Narayanapura,1308.0,2.0,2.0,92.66,2.0
Green Glen Layout,3250.0,4.0,0.0,230.0,4.0
Hormavu,1351.0,2.0,1.0,53.0,1.0
Gunjur,1140.0,2.0,2.0,49.11,2.0
Jakkur,3181.0,4.0,0.0,260.5,4.0
Uttarahalli,1250.0,2.0,1.0,55.0,3.0
Kanakapura,1290.0,3.0,3.0,45.15,3.0
Ambedkar Nagar,1424.0,2.0,2.0,90.0,2.0
Garudachar Palya,1320.0,2.0,2.0,60.6,3.0
Akshaya Nagar,1662.0,3.0,2.0,85.5,3.0
Begur Road,1200.0,2.0,2.0,45.0,2.0
Koramangala,1975.0,3.0,0.0,210.0,3.0
Garudachar Palya,1295.0,2.0,2.0,59.5,3.0
Battarahalli,1777.0,3.0,2.0,100.0,3.0
Kadugodi,1900.0,3.0,0.0,108.0,3.0
Anandapura,1576.0,3.0,2.0,59.1,3.0
Sompura,1020.0,2.0,3.0,41.0,2.0
Green Domain Layout,2100.0,3.0,3.0,170.0,3.0
Raja Rajeshwari Nagar,648.0,1.0,1.0,31.75,1.0
Neeladri Nagar,1167.0,2.0,1.0,38.0,3.0
Hoodi,1220.0,2.0,2.0,50.89,2.0
Kogilu,2350.0,5.0,1.0,327.0,3.0
Vittasandra,1259.0,2.0,1.0,67.4,2.0
Gottigere,2000.0,4.0,2.0,82.0,4.0
8th Phase JP Nagar,1800.0,3.0,1.0,80.0,3.0
Cleveland Town,1991.0,3.0,2.0,160.0,3.0
Bannerghatta,1665.0,3.0,3.0,110.0,3.0
"Hoodi Circle, ",1234.0,2.0,1.0,61.0,2.0
Mysore Road,1340.0,2.0,2.0,64.31,3.0
Banashankari,1170.0,2.0,2.0,46.79,2.0
Electronics City Phase 1,995.0,2.0,0.0,46.0,2.0
Old Airport Road,1075.0,2.0,2.0,60.0,2.0
Electronic City,1025.0,2.0,1.0,54.5,2.0
Rachenahalli,2721.0,3.0,2.0,113.0,3.0
Thanisandra,2000.0,3.0,2.0,99.0,3.0
Whitefield,2500.0,4.0,3.0,155.0,4.0
Mallasandra,1325.0,2.0,2.0,70.0,2.0
Kadugodi,1314.0,2.0,3.0,68.2,2.0
Kanakpura Road,2265.0,3.0,2.0,136.0,3.0
Yelahanka,1026.0,2.0,1.0,41.0,2.0
Syndicate Bank Colony,1200.0,3.0,2.0,66.0,3.0
Kada Agrahara,2220.0,4.0,2.0,65.0,3.0
KR Puram,1192.5,2.0,0.0,51.22,2.0
Hebbal,1420.0,2.0,1.0,99.39,2.0
JP Nagar,1300.0,2.0,1.0,90.87,2.0
Rajaji Nagar,1216.0,2.0,0.0,97.16,2.0
"Off Sarjapur road, ",3000.0,4.0,3.0,342.0,4.0
Begur,1559.0,3.0,2.0,63.0,3.0
Harlur,1290.0,2.0,1.0,87.0,2.0
M C Layout,2400.0,6.0,0.0,245.0,6.0
Whitefield,905.0,1.0,1.0,55.0,1.0
Nanjappa Layout,1069.0,2.0,0.0,55.0,2.0
Sarjapura - Attibele Road,829.0,2.0,1.0,22.8,2.0
Koramangala,1900.0,2.0,1.0,200.0,2.0
Sarjapur  Road,1300.0,3.0,2.0,60.0,3.0
Channasandra,1115.0,2.0,1.0,33.45,2.0
Rajaji Nagar,2409.0,3.0,2.0,360.0,3.0
Ambedkar Nagar,2150.0,4.0,2.0,125.0,3.0
Marathahalli,1305.0,2.0,1.0,69.0,3.0
Kanakpura Road,1252.0,2.0,1.0,56.32,2.0
Hosakerehalli,2400.0,5.0,0.0,250.0,5.0
Whitefield,1200.0,2.0,1.0,46.13,2.0
Koramangala,1750.0,3.0,1.0,130.0,3.0
Electronic City Phase II,545.0,1.0,1.0,35.0,2.0
BEL Layout,1375.0,2.0,1.0,105.0,2.0
Subramanyapura,1313.0,2.0,2.0,66.5,2.0
Attibele,3640.0,4.0,1.0,275.0,4.0
Akshayanagara East,1693.0,3.0,2.0,108.0,3.0
JCR Layout,1160.0,2.0,1.0,41.75,2.0
Sri Kanteshwara Nagar,1200.0,3.0,0.0,200.0,3.0
Subramanyapura,1255.0,2.0,2.0,79.0,3.0
Bellari Road,900.0,2.0,1.0,45.0,2.0
Yelahanka New Town,1700.0,3.0,2.0,90.0,3.0
Indira Nagar,1875.0,3.0,1.0,180.0,3.0
Uttarahalli,1700.0,3.0,2.0,88.0,3.0
Harlur,1749.0,3.0,2.0,115.0,3.0
Dasanapura,1500.0,3.0,1.0,65.0,2.0
Varanasi,1175.0,2.0,1.0,48.0,2.0
Akshaya Nagar,1280.0,2.0,1.0,60.0,2.0
