location,total_sqft,bath,balcony,bhk,price
Yeshwanthpur,1195.0,2.0,2.0,2.0,100.0
CV Raman Nagar,1028.0,2.0,1.0,2.0,49.0
Yeshwanthpur,1826.0,3.0,2.0,3.0,165.0
Hoodi,2400.0,5.0,2.0,5.0,160.0
Yelahanka,1603.0,3.0,2.0,3.0,96.0
Marathahalli,1350.0,3.0,1.0,3.0,72.0
KR Puram,714.0,1.0,1.0,1.0,28.0
Whitefield,1215.0,2.0,3.0,2.0,65.0
KR Puram,1142.0,2.0,1.0,2.0,51.0
Whitefield,1870.0,3.0,2.0,3.0,90.0
Subramanyapura,1313.0,2.0,2.0,2.0,73.0
Thanisandra,1573.0,3.0,2.0,3.0,95.0
Sarjapur  Road,1255.0,2.0,1.0,2.0,92.0
Sarjapur  Road,1380.0,2.0,1.0,3.0,52.0
Vittasandra,1238.0,2.0,1.0,2.0,67.0
Thigalarapalya,1418.0,2.0,2.0,2.0,103.0
Uttarahalli,1279.0,2.0,2.0,2.0,48.0
Kasavanhalli,1870.0,3.0,1.0,3.0,200.0
Hebbal,2526.0,2.0,2.0,3.0,250.0
Rajaji Nagar,3539.5,4.0,0.0,4.0,424.5
Uttarahalli,1845.0,2.0,1.0,3.0,68.27
Whitefield,1260.0,2.0,2.0,2.0,49.5
Hoodi,1350.0,2.0,3.0,3.0,48.0
Bhoganhalli,1447.0,2.0,1.0,2.0,75.97
Kudlu,1027.0,2.0,2.0,2.0,43.0
Gottigere,1153.0,2.0,1.0,2.0,48.5
Whitefield,2856.0,5.0,0.0,4.0,145.5
Begur Road,1410.0,2.0,3.0,3.0,44.42
Varthur,1055.0,2.0,2.0,2.0,45.35
Yelahanka,1304.0,2.0,1.0,2.0,79.0
7th Phase JP Nagar,1035.0,2.0,1.0,2.0,39.33
Tumkur Road,700.0,1.0,0.0,1.0,30.09
Haralur Road,1300.0,2.0,2.0,2.0,73.0
Tumkur Road,1239.0,2.0,1.0,2.0,82.0
Sarjapur  Road,1403.0,3.0,3.0,3.0,51.63
Hosa Road,1365.0,2.0,1.0,2.0,92.0
Subramanyapura,1130.0,2.0,3.0,3.0,45.19
Green Glen Layout,1776.42,3.0,2.0,3.0,105.0
Haralur Road,1194.0,2.0,2.0,2.0,47.0
Hoodi,1850.0,3.0,2.0,3.0,146.0
Marathahalli,1535.0,3.0,2.0,3.0,72.5
Kanakpura Road,1050.0,2.0,1.0,2.0,35.0
Banashankari,2400.0,3.0,2.0,4.0,370.0
7th Phase JP Nagar,1250.0,3.0,2.0,3.0,65.0
Kalena Agrahara,1187.0,2.0,3.0,2.0,52.0
9th Phase JP Nagar,1164.0,2.0,1.0,2.0,56.0
Electronic City Phase II,1395.0,2.0,1.0,3.0,62.78
Kanakpura Road,1450.0,3.0,3.0,3.0,60.91
Bannerghatta Road,1550.0,3.0,2.0,3.0,82.0
Hebbal,3067.0,4.0,3.0,4.0,230.0
Bisuvanahalli,1075.0,2.0,1.0,3.0,47.0
Kaggadasapura,1470.0,2.0,2.0,3.0,75.0
Hosur Road,1590.0,2.0,2.0,3.0,125.0
Kanakpura Road,1050.0,2.0,1.0,2.0,36.75
Raja Rajeshwari Nagar,1306.0,2.0,1.0,2.0,55.91
Malleshwaram,2000.0,3.0,2.0,3.0,250.0
Sarjapur  Road,1220.0,3.0,2.0,3.0,58.0
Sarjapur,3190.0,3.0,1.0,4.0,160.0
Ramagondanahalli,1215.0,2.0,1.0,2.0,51.26
Budigere,1920.0,2.0,1.0,3.0,88.0
Dodda Nekkundi,1390.0,2.0,2.0,2.0,60.0
Nagarbhavi,600.0,3.0,2.0,3.0,100.0
Hoodi,1196.0,2.0,0.0,2.0,71.74
Bannerghatta Road,1550.0,2.0,2.0,3.0,75.0
Thigalarapalya,1418.0,2.0,2.0,2.0,101.0
KR Puram,1115.0,2.0,2.0,2.0,33.45
Anekal,1035.0,2.0,2.0,2.0,38.3
Kengeri,750.0,2.0,2.0,2.0,22.0
Thanisandra,1917.0,3.0,3.0,3.0,122.0
Kaggadasapura,1615.0,3.0,3.0,3.0,58.0
Marathahalli,1071.0,2.0,2.0,2.0,52.25
Koramangala,1325.0,2.0,2.0,2.0,119.0
5th Phase JP Nagar,1400.0,2.0,1.0,3.0,88.0
Tumkur Road,1246.0,2.0,1.0,2.0,82.0
Sarjapur,1215.0,2.0,0.0,2.0,40.0
Hormavu,1175.0,2.0,1.0,2.0,52.0
Whitefield,920.0,2.0,1.0,2.0,63.0
Hosakerehalli,3024.0,5.0,1.0,4.0,350.0
Uttarahalli,1425.0,2.0,2.0,3.0,64.0
Basavangudi,2150.0,3.0,2.0,3.0,265.0
Whitefield,1165.0,2.0,1.0,2.0,40.5
Kaggadasapura,1050.0,2.0,2.0,2.0,48.0
Electronic City,1374.0,2.0,1.0,3.0,72.0
Harlur,1754.0,3.0,2.0,3.0,124.0
Kothanur,1847.0,3.0,2.0,3.0,110.0
Thanisandra,693.0,1.0,1.0,1.0,34.3
KR Puram,1021.0,2.0,1.0,2.0,48.0
Thigalarapalya,1165.0,2.0,2.0,2.0,95.0
Horamavu Agara,1756.0,3.0,2.0,3.0,92.0
Varthur,1280.0,2.0,0.0,2.0,65.0
Marathahalli,1215.0,2.0,2.0,2.0,58.86
Kengeri,1082.0,2.0,1.0,3.0,49.0
7th Phase JP Nagar,1050.0,2.0,1.0,2.0,42.0
Devanahalli,1080.0,2.0,0.0,2.0,53.35
Sarjapur  Road,1311.0,2.0,1.0,2.0,78.0
Raja Rajeshwari Nagar,1608.0,3.0,1.0,3.0,67.98
Begur Road,1160.0,2.0,2.0,2.0,36.0
Whitefield,1170.0,2.0,1.0,2.0,71.0
Kengeri,1155.0,2.0,2.0,2.0,40.6
Hebbal,1255.0,2.0,1.0,3.0,77.68
Ramagondanahalli,2257.0,4.0,2.0,3.0,157.0
Nagarbhavi,1055.0,2.0,2.0,2.0,55.0
Raja Rajeshwari Nagar,1530.0,3.0,3.0,3.0,51.87
Raja Rajeshwari Nagar,1575.0,2.0,2.0,3.0,78.0
Frazer Town,3500.0,4.0,2.0,3.0,330.0
KR Puram,1559.0,3.0,0.0,3.0,69.315
Kengeri Satellite Town,1043.0,2.0,2.0,2.0,65.0
Hennur,1255.0,2.0,2.0,2.0,53.5
JP Nagar,1352.5,2.0,0.0,2.0,93.865
Yelahanka,1550.0,3.0,1.0,3.0,120.0
Sarjapur  Road,1220.0,3.0,3.0,3.0,56.0
8th Phase JP Nagar,1455.0,3.0,2.0,3.0,73.31
KR Puram,1035.0,2.0,1.0,2.0,40.5
Harlur,1152.0,2.0,2.0,2.0,69.0
Bellandur,1299.0,2.0,2.0,2.0,82.0
Sarjapur  Road,1157.0,2.0,1.0,3.0,75.0
Rachenahalli,1050.0,2.0,2.0,2.0,52.5
Vittasandra,1246.0,2.0,1.0,2.0,67.4
Hennur,1285.0,2.0,1.0,2.0,60.0
BTM 2nd Stage,1850.0,3.0,0.0,3.0,170.0
Malleshwaram,1124.0,3.0,2.0,2.0,80.0
Balagere,1012.0,2.0,1.0,2.0,54.59
8th Phase JP Nagar,871.0,2.0,2.0,2.0,55.0
Rachenahalli,1550.0,3.0,3.0,3.0,73.5
Akshaya Nagar,1410.0,2.0,2.0,3.0,80.0
Whitefield,1118.0,2.0,1.0,2.0,75.0
Thanisandra,1098.0,2.0,1.0,2.0,68.0
Kanakapura,1130.0,2.0,1.0,2.0,45.2
Sarjapur  Road,1145.0,2.0,2.0,2.0,75.0
Kadugodi,950.0,3.0,1.0,3.0,80.0
Marathahalli,1102.0,2.0,2.0,2.0,53.67
Jalahalli,1478.0,2.0,2.0,2.0,125.0
Chandapura,645.0,1.0,1.0,1.0,16.45
Hebbal,823.0,2.0,1.0,2.0,50.63
TC Palaya,1100.0,3.0,1.0,3.0,50.0
5th Phase JP Nagar,1450.0,2.0,1.0,2.0,58.0
Sahakara Nagar,1150.0,2.0,1.0,2.0,54.0
Kanakpura Road,1843.0,3.0,2.0,3.0,95.84
Bommanahalli,1090.0,3.0,2.0,2.0,44.0
Kaggadasapura,1132.0,2.0,2.0,2.0,42.0
Hulimavu,1375.0,2.0,2.0,2.0,80.0
Thanisandra,760.0,1.0,2.0,1.0,50.3
Kaggadasapura,1180.0,2.0,2.0,2.0,65.0
Jigani,918.0,2.0,2.0,2.0,45.0
HSR Layout,1372.0,2.0,1.0,2.0,61.0
Malleshwaram,2215.0,3.0,1.0,3.0,275.0
BTM 2nd Stage,1200.0,2.0,2.0,2.0,80.0
Kanakpura Road,1500.0,3.0,2.0,3.0,97.0
Whitefield,1800.0,3.0,0.0,3.0,110.0
Mysore Road,1525.0,3.0,2.0,3.0,96.0
Rachenahalli,1204.0,2.0,3.0,2.0,38.5
Old Madras Road,1225.0,2.0,1.0,2.0,53.55
Bannerghatta Road,1650.0,3.0,0.0,3.0,122.0
9th Phase JP Nagar,1005.0,2.0,1.0,2.0,42.0
Whitefield,1562.0,3.0,2.0,3.0,103.0
Ramamurthy Nagar,1200.0,2.0,3.0,2.0,42.0
Kasavanhalli,1555.0,3.0,2.0,3.0,82.5
KR Puram,1550.0,2.0,1.0,2.0,71.0
Whitefield,1190.0,2.0,2.0,2.0,67.0
Chikkalasandra,1070.0,2.0,2.0,2.0,50.0
Yelahanka,1610.0,3.0,1.0,3.0,115.0
Hebbal,1420.0,2.0,1.0,2.0,123.0
Hebbal,1069.0,3.0,2.0,3.0,65.4
Marathahalli,1900.0,3.0,3.0,3.0,123.0
Old Airport Road,1655.0,2.0,1.0,2.0,97.65
Uttarahalli,1155.0,2.0,2.0,2.0,40.42
Sarjapur  Road,1300.0,2.0,2.0,3.0,70.0
Electronic City,1100.0,2.0,2.0,2.0,45.0
Doddathoguru,1030.0,2.0,2.0,2.0,42.0
Vittasandra,2105.0,2.0,1.0,2.0,70.2
Bhoganhalli,1700.0,3.0,2.0,3.0,126.0
Jakkur,1760.0,3.0,2.0,3.0,139.0
Bannerghatta Road,912.0,2.0,1.0,2.0,55.0
Whitefield,1102.0,2.0,1.0,2.0,48.0
Haralur Road,1243.0,2.0,2.0,2.0,46.0
Jigani,918.0,2.0,2.0,2.0,63.2
Begur Road,1500.0,2.0,3.0,3.0,70.0
Kasavanhalli,1476.0,3.0,0.0,3.0,89.0
Mysore Road,1200.0,2.0,3.0,2.0,65.0
Vijayanagar,606.0,1.0,0.0,1.0,34.78
Koramangala,1140.0,2.0,1.0,2.0,75.2
Whitefield,2321.0,4.0,1.0,3.0,128.0
Sarjapur  Road,1390.0,2.0,2.0,2.0,62.0
Sarjapur  Road,1725.0,3.0,3.0,3.0,90.0
Hebbal,3067.0,4.0,1.0,4.0,310.0
Hennur Road,1186.0,2.0,1.0,3.0,63.0
Kanakpura Road,1230.0,2.0,1.0,2.0,85.0
Yeshwanthpur,1313.0,3.0,1.0,3.0,96.0
TC Palaya,900.0,2.0,0.0,2.0,55.0
Ambalipura,1250.0,2.0,2.0,2.0,66.25
Basavangudi,1036.0,2.0,2.0,2.0,105.0
Koramangala,2700.0,4.0,3.0,4.0,450.0
Old Madras Road,1100.0,2.0,1.0,2.0,70.0
Electronics City Phase 1,1015.0,2.0,1.0,2.0,56.0
Gottigere,812.0,1.0,0.0,1.0,26.0
Raja Rajeshwari Nagar,1200.0,2.0,1.0,2.0,35.0
BTM 2nd Stage,1274.0,2.0,2.0,2.0,70.0
Raja Rajeshwari Nagar,1151.0,2.0,2.0,2.0,39.02
Raja Rajeshwari Nagar,1570.0,2.0,2.0,3.0,65.0
9th Phase JP Nagar,1200.0,3.0,2.0,4.0,188.0
5th Phase JP Nagar,1700.0,2.0,3.0,3.0,100.0
Haralur Road,1850.0,3.0,0.0,3.0,110.0
7th Phase JP Nagar,1385.0,2.0,2.0,3.0,58.17
Sahakara Nagar,1270.0,2.0,1.0,2.0,69.85
Kanakpura Road,1450.0,3.0,3.0,3.0,56.0
Mahadevpura,730.0,1.0,1.0,1.0,35.0
Raja Rajeshwari Nagar,1580.0,3.0,3.0,3.0,53.56
Thanisandra,1111.0,2.0,1.0,2.0,50.0
Kengeri,1125.0,2.0,1.0,4.0,88.0
Varthur,977.0,2.0,2.0,2.0,36.0
Nagarbhavi,600.0,3.0,1.0,3.0,83.0
Sarjapur,2540.0,4.0,1.0,4.0,115.0
Jakkur,1290.0,2.0,1.0,2.0,100.0
Kanakpura Road,700.0,1.0,1.0,2.0,35.0
Vijayanagar,1000.0,3.0,0.0,3.0,140.0
Dodda Nekkundi,1804.0,3.0,2.0,3.0,121.0
Thanisandra,1185.5,2.0,0.0,2.0,58.68
Bellandur,900.0,2.0,2.0,2.0,56.0
Mysore Road,1005.0,2.0,0.0,2.0,35.175
Hennur Road,1680.0,3.0,0.0,3.0,99.27
Hebbal,1040.0,2.0,2.0,2.0,46.0
Basavangudi,2500.0,4.0,1.0,4.0,150.0
Doddathoguru,1549.0,3.0,2.0,3.0,65.0
Yeshwanthpur,1400.0,2.0,2.0,2.0,100.0
Dodda Nekkundi,1080.0,2.0,2.0,2.0,50.0
Haralur Road,1225.0,2.0,1.0,2.0,67.38
Whitefield,1320.0,2.0,1.0,2.0,95.0
Kudlu Gate,1707.0,3.0,0.0,3.0,99.745
Electronic City,1128.0,2.0,1.0,2.0,65.35
Jakkur,1452.19,2.0,1.0,2.0,100.0
Banashankari,2600.0,4.0,1.0,3.0,135.0
Hosa Road,1243.0,2.0,2.0,2.0,48.5
Whitefield,735.0,2.0,1.0,2.0,35.0
Rajaji Nagar,2849.0,5.0,0.0,5.0,300.0
Hebbal,1420.0,2.0,1.0,2.0,99.39
Somasundara Palya,1570.0,3.0,3.0,3.0,68.0
Bisuvanahalli,850.0,1.0,1.0,2.0,32.0
7th Phase JP Nagar,1575.0,2.0,2.0,3.0,110.0
Thigalarapalya,1418.0,2.0,2.0,2.0,104.0
Uttarahalli,1050.0,2.0,1.0,2.0,42.0
Hennur Road,1065.0,2.0,1.0,2.0,42.6
Yelahanka New Town,1610.0,3.0,2.0,3.0,92.0
Electronic City Phase II,1160.0,2.0,1.0,2.0,33.5
Kudlu,1092.0,2.0,2.0,2.0,44.0
Yelahanka,1455.0,3.0,1.0,3.0,61.5
Whitefield,1896.0,3.0,1.0,3.0,75.0
Bellandur,1350.0,2.0,1.0,2.0,79.0
Electronic City,1128.0,2.0,1.0,2.0,65.0
Kasavanhalli,1493.0,3.0,2.0,3.0,82.0
8th Phase JP Nagar,1098.0,2.0,1.0,2.0,43.91
Banashankari,1900.0,2.0,1.0,3.0,170.0
Frazer Town,2350.0,4.0,3.0,3.0,285.0
Varthur,1091.0,2.0,1.0,2.0,32.0
Yelahanka,1180.0,2.0,3.0,2.0,42.0
Kanakpura Road,1366.0,3.0,1.0,2.0,76.85
Koramangala,1260.0,2.0,3.0,2.0,100.0
Whitefield,3010.0,3.0,2.0,3.0,200.0
Whitefield,1346.0,2.0,1.0,2.0,96.17
Sarjapur  Road,1476.0,3.0,0.0,3.0,98.94
7th Phase JP Nagar,1850.0,3.0,2.0,3.0,140.0
Frazer Town,2350.0,2.0,0.0,5.0,423.0
Electronic City,755.0,1.0,1.0,2.0,34.0
Whitefield,3850.0,5.0,0.0,3.0,316.0
Rachenahalli,2250.0,3.0,1.0,3.0,195.0
Vijayanagar,1352.0,2.0,2.0,2.0,68.0
Thanisandra,2002.0,3.0,2.0,3.0,112.0
Kanakpura Road,1419.59,2.0,1.0,3.0,59.0
Raja Rajeshwari Nagar,1196.0,2.0,2.0,2.0,51.15
Electronic City,1220.0,2.0,2.0,3.0,35.24
Electronics City Phase 1,1595.0,3.0,2.0,3.0,75.0
Banashankari,1260.0,2.0,3.0,2.0,75.0
Hebbal,1100.0,2.0,2.0,2.0,47.0
Frazer Town,1550.0,2.0,2.0,2.0,140.0
Akshaya Nagar,1662.0,3.0,2.0,3.0,85.0
Hennur,1285.0,2.0,1.0,2.0,60.0
Raja Rajeshwari Nagar,1419.0,2.0,2.0,2.0,48.0
Whitefield,1410.0,3.0,2.0,3.0,43.71
Raja Rajeshwari Nagar,1560.0,2.0,2.0,3.0,62.4
Thanisandra,1634.0,3.0,3.0,3.0,78.0
Whitefield,1150.0,2.0,3.0,3.0,44.0
Yelahanka,1616.0,3.0,1.0,3.0,65.0
Jakkur,1798.0,3.0,1.0,3.0,120.0
Hebbal,1700.0,3.0,2.0,3.0,124.0
Hulimavu,1248.0,2.0,1.0,2.0,69.0
Vijayanagar,1527.0,3.0,2.0,3.0,115.0
Kanakpura Road,525.0,1.0,1.0,1.0,25.0
Kaggadasapura,1100.0,2.0,3.0,2.0,58.0
Kanakapura,1476.0,3.0,1.0,3.0,75.0
Ambalipura,1332.0,2.0,1.0,2.0,79.0
Hennur Road,1350.0,2.0,3.0,2.0,49.0
Haralur Road,1243.0,2.0,2.0,2.0,46.0
Kasavanhalli,1200.0,2.0,2.0,2.0,50.0
Ramagondanahalli,1251.0,2.0,1.0,2.0,47.4
Rajaji Nagar,1800.0,3.0,3.0,3.0,260.0
Hegde Nagar,1703.0,3.0,2.0,3.0,113.0
Varthur,1250.0,3.0,0.0,3.0,71.0
Jigani,933.0,2.0,2.0,2.0,43.0
Brookefield,1262.0,2.0,1.0,2.0,75.0
Yelahanka,915.0,2.0,2.0,2.0,48.0
Panathur,1370.0,2.0,2.0,3.0,61.5
Rajaji Nagar,3100.0,4.0,2.0,4.0,570.0
Ramamurthy Nagar,1515.0,3.0,3.0,3.0,65.0
Thanisandra,1445.0,2.0,3.0,3.0,40.31
Uttarahalli,1300.0,2.0,1.0,3.0,55.0
Vijayanagar,989.0,2.0,0.0,2.0,60.0
Jakkur,1300.0,2.0,1.0,2.0,85.0
Chandapura,1185.0,2.0,2.0,3.0,30.22
Marathahalli,1045.0,2.0,3.0,2.0,60.0
Bommanahalli,1250.0,2.0,2.0,3.0,42.5
Hennur Road,1385.0,2.0,1.0,2.0,83.09
Lakshminarayana Pura,1149.0,2.0,1.0,2.0,75.0
Sarjapur  Road,2180.0,3.0,2.0,3.0,170.0
Hulimavu,1818.0,3.0,1.0,3.0,135.0
Rajaji Nagar,1640.0,3.0,2.0,3.0,241.0
Nagarbhavi,1350.0,2.0,2.0,3.0,54.6
Chandapura,630.0,1.0,1.0,2.0,27.0
Hoodi,1430.0,2.0,2.0,2.0,113.0
Sarjapur  Road,1084.0,2.0,3.0,2.0,55.0
Hennur Road,1186.0,2.0,1.0,3.0,56.0
Kengeri,1255.0,2.0,2.0,2.0,50.0
Haralur Road,3400.0,5.0,3.0,4.0,240.0
Hosa Road,1541.0,3.0,1.0,3.0,69.84
Raja Rajeshwari Nagar,1295.0,2.0,2.0,2.0,70.0
7th Phase JP Nagar,1370.0,2.0,2.0,3.0,54.79
Electronic City,1100.0,2.0,1.0,2.0,40.0
Rajaji Nagar,1370.0,2.0,1.0,2.0,170.0
7th Phase JP Nagar,1370.0,2.0,1.0,3.0,54.79
JP Nagar,1200.0,2.0,2.0,2.0,62.0
9th Phase JP Nagar,3500.0,4.0,0.0,4.0,300.0
Kengeri,2400.0,5.0,2.0,4.0,253.0
Sarjapur  Road,1220.0,3.0,2.0,3.0,62.0
Somasundara Palya,1178.0,2.0,3.0,2.0,73.0
Begur Road,1160.0,2.0,2.0,2.0,42.0
Jigani,918.0,2.0,2.0,2.0,55.0
Electronic City,1563.0,3.0,2.0,3.0,91.84
Begur Road,1240.0,2.0,2.0,2.0,39.06
Kaggadasapura,1325.0,2.0,2.0,2.0,50.0
Somasundara Palya,1260.0,2.0,1.0,2.0,60.0
Hoodi,1553.0,3.0,2.0,3.0,83.09
Whitefield,1280.0,2.0,2.0,2.0,52.0
Hebbal,1550.0,2.0,2.0,3.0,75.0
Electronics City Phase 1,1515.0,2.0,1.0,3.0,80.91
Hosa Road,1332.0,2.0,1.0,3.0,86.12
Electronic City,1652.0,3.0,2.0,3.0,70.0
Hegde Nagar,1570.0,3.0,1.0,3.0,105.0
7th Phase JP Nagar,3600.0,3.0,2.0,4.0,410.0
Hosakerehalli,1200.0,3.0,2.0,3.0,175.0
JP Nagar,1650.0,3.0,1.0,4.0,220.0
Sarjapur  Road,1750.0,3.0,2.0,3.0,110.0
Hebbal,1053.0,2.0,1.0,2.0,48.0
Kanakpura Road,1100.0,3.0,2.0,3.0,53.0
Bommasandra,1447.0,3.0,2.0,3.0,80.0
Balagere,1012.0,2.0,1.0,2.0,75.0
Green Glen Layout,3250.0,4.0,0.0,4.0,230.0
Hormavu,1351.0,2.0,1.0,1.0,53.0
Jakkur,3181.0,4.0,0.0,4.0,260.5
Uttarahalli,1250.0,2.0,1.0,3.0,55.0
Kanakapura,1290.0,3.0,3.0,3.0,45.15
Akshaya Nagar,1662.0,3.0,2.0,3.0,85.5
Begur Road,1200.0,2.0,2.0,2.0,45.0
Koramangala,1975.0,3.0,0.0,3.0,210.0
Kadugodi,1900.0,3.0,0.0,3.0,108.0
Raja Rajeshwari Nagar,648.0,1.0,1.0,1.0,31.75
Hoodi,1220.0,2.0,2.0,2.0,50.89
Vittasandra,1259.0,2.0,1.0,2.0,67.4
Gottigere,2000.0,4.0,2.0,4.0,82.0
8th Phase JP Nagar,1800.0,3.0,1.0,3.0,80.0
Mysore Road,1340.0,2.0,2.0,3.0,64.31
Banashankari,1170.0,2.0,2.0,2.0,46.79
Electronics City Phase 1,995.0,2.0,0.0,2.0,46.0
Old Airport Road,1075.0,2.0,2.0,2.0,60.0
Electronic City,1025.0,2.0,1.0,2.0,54.5
Rachenahalli,2721.0,3.0,2.0,3.0,113.0
Thanisandra,2000.0,3.0,2.0,3.0,99.0
Whitefield,2500.0,4.0,3.0,4.0,155.0
Kadugodi,1314.0,2.0,3.0,2.0,68.2
Kanakpura Road,2265.0,3.0,2.0,3.0,136.0
Yelahanka,1026.0,2.0,1.0,2.0,41.0
KR Puram,1192.5,2.0,0.0,2.0,51.22
Hebbal,1420.0,2.0,1.0,2.0,99.39
JP Nagar,1300.0,2.0,1.0,2.0,90.87
Rajaji Nagar,1216.0,2.0,0.0,2.0,97.16
Harlur,1290.0,2.0,1.0,2.0,87.0
Whitefield,905.0,1.0,1.0,1.0,55.0
Koramangala,1900.0,2.0,1.0,2.0,200.0
Sarjapur  Road,1300.0,3.0,2.0,3.0,60.0
Channasandra,1115.0,2.0,1.0,2.0,33.45
Rajaji Nagar,2409.0,3.0,2.0,3.0,360.0
Marathahalli,1305.0,2.0,1.0,3.0,69.0
Kanakpura Road,1252.0,2.0,1.0,2.0,56.32
Hosakerehalli,2400.0,5.0,0.0,5.0,250.0
Whitefield,1200.0,2.0,1.0,2.0,46.13
Koramangala,1750.0,3.0,1.0,3.0,130.0
Electronic City Phase II,545.0,1.0,1.0,2.0,35.0
Subramanyapura,1313.0,2.0,2.0,2.0,66.5
Attibele,3640.0,4.0,1.0,4.0,275.0
Subramanyapura,1255.0,2.0,2.0,3.0,79.0
Yelahanka New Town,1700.0,3.0,2.0,3.0,90.0
Indira Nagar,1875.0,3.0,1.0,3.0,180.0
Uttarahalli,1700.0,3.0,2.0,3.0,88.0
Harlur,1749.0,3.0,2.0,3.0,115.0
Akshaya Nagar,1280.0,2.0,1.0,2.0,60.0
Ramagondanahalli,1610.0,2.0,2.0,3.0,115.0
Electronic City,1070.0,2.0,1.0,2.0,46.0
TC Palaya,1200.0,2.0,0.0,2.0,66.0
9th Phase JP Nagar,1127.0,2.0,1.0,2.0,50.0
Indira Nagar,1210.0,2.0,1.0,2.0,102.0
Whitefield,2268.0,3.0,0.0,4.0,146.0
Kengeri,750.0,2.0,1.0,2.0,36.0
Vijayanagar,1520.0,2.0,1.0,3.0,103.0
Marathahalli,1215.0,2.0,2.0,2.0,58.86
Hennur Road,2350.0,3.0,2.0,3.0,174.0
Thanisandra,1050.0,2.0,2.0,2.0,46.0
8th Phase JP Nagar,2700.0,4.0,2.0,4.0,130.0
Bommasandra,920.0,2.0,1.0,2.0,37.46
Sarjapur  Road,1200.0,3.0,2.0,3.0,70.0
HSR Layout,1140.0,2.0,2.0,2.0,46.0
Haralur Road,1464.0,2.0,2.0,2.0,56.0
Electronics City Phase 1,1555.0,2.0,1.0,3.0,82.0
Whitefield,1150.0,2.0,0.0,2.0,55.0
Banashankari,2500.0,4.0,3.0,4.0,95.0
Electronic City,1350.0,3.0,2.0,3.0,58.0
7th Phase JP Nagar,1300.0,2.0,2.0,3.0,52.0
Kodichikkanahalli,1495.0,2.0,2.0,3.0,75.0
Indira Nagar,1224.0,2.0,2.0,2.0,105.0
Green Glen Layout,940.0,2.0,1.0,2.0,56.8
Raja Rajeshwari Nagar,1100.0,2.0,1.0,2.0,55.0
Hoodi,1105.0,2.0,2.0,2.0,46.37
Sarjapur  Road,2600.0,3.0,2.0,3.0,200.0
Yelahanka,1517.0,3.0,2.0,3.0,76.3
Jalahalli,1615.0,3.0,2.0,3.0,89.75
Mysore Road,1082.0,3.0,1.0,3.0,50.5
Marathahalli,1365.0,2.0,2.0,2.0,73.0
CV Raman Nagar,1392.0,2.0,1.0,2.0,98.0
Hennur Road,1586.0,3.0,3.0,3.0,93.94
Hennur,1100.0,2.0,1.0,2.0,60.0
Electronic City Phase II,1065.0,2.0,1.0,2.0,30.75
TC Palaya,1500.0,2.0,1.0,3.0,120.0
7th Phase JP Nagar,1575.0,2.0,2.0,3.0,120.0
Hennur Road,1975.0,3.0,3.0,3.0,123.0
Nagarbhavi,1223.0,2.0,1.0,2.0,60.0
Hebbal,1355.0,3.0,1.0,3.0,83.87
Thanisandra,1588.0,3.0,1.0,3.0,75.55
Harlur,3385.0,4.0,0.0,4.0,260.0
Panathur,1370.0,2.0,2.0,3.0,75.0
Whitefield,1500.0,3.0,1.0,3.0,71.8
Kanakpura Road,1100.0,3.0,2.0,3.0,53.0
Hoodi,1247.0,2.0,0.0,2.0,53.0
Balagere,1020.07,2.0,1.0,2.0,68.38
Yelahanka,2912.5,6.0,0.0,4.0,125.5
Hosa Road,1665.0,2.0,3.0,3.0,125.0
Kanakapura,1295.0,2.0,2.0,2.0,64.0
Haralur Road,1230.0,2.0,1.0,2.0,78.0
Whitefield,630.5,1.0,0.0,1.0,32.79
Thanisandra,1697.0,3.0,2.0,3.0,115.0
Whitefield,3537.0,5.0,3.0,4.0,210.0
Hosa Road,615.0,1.0,1.0,1.0,28.29
Banashankari,1350.0,2.0,0.0,3.0,83.0
Kanakpura Road,1530.0,3.0,0.0,3.0,66.4
Jalahalli,1083.0,2.0,1.0,2.0,32.49
Gottigere,1460.0,2.0,2.0,3.0,65.0
Bommasandra,1035.0,2.0,1.0,2.0,41.43
Hosur Road,460.0,1.0,1.0,1.0,21.0
Whitefield,1285.0,2.0,2.0,2.0,55.9
Sarjapur,1200.0,3.0,2.0,3.0,78.0
Hegde Nagar,1801.0,3.0,2.0,3.0,140.0
Whitefield,1697.0,3.0,2.0,3.0,115.0
Mysore Road,1340.0,2.0,3.0,3.0,64.31
Marathahalli,3800.0,4.0,3.0,4.0,205.0
Subramanyapura,1050.0,2.0,3.0,2.0,41.0
Nagarbhavi,956.0,2.0,1.0,2.0,49.0
Sarjapur,1000.0,2.0,2.0,2.0,30.0
Kanakpura Road,1296.0,2.0,3.0,2.0,89.06
Electronic City Phase II,1219.0,2.0,1.0,2.0,61.25
Uttarahalli,1200.0,3.0,1.0,3.0,50.0
Bannerghatta Road,1218.0,2.0,1.0,2.0,73.0
Yeshwanthpur,2559.0,3.0,2.0,3.0,141.0
Bannerghatta Road,1427.0,2.0,2.0,3.0,48.51
Ramagondanahalli,920.0,2.0,3.0,2.0,65.0
Ramamurthy Nagar,1355.0,2.0,0.0,3.0,40.0
Marathahalli,3895.0,4.0,3.0,4.0,220.0
Jakkur,1950.0,3.0,2.0,3.0,131.0
Yelahanka,600.0,2.0,2.0,2.0,27.0
Vijayanagar,1380.0,2.0,0.0,2.0,225.0
